ProductID,ProductName,ProductDescription,ProductGroupID,Price,StockQuantity,SupplierID,Weight,Dimensions,Color,WarrantyPeriod,LaunchDate
e75a46db-0979-41dc-b234-ec30e92a92cd,There,Give size offer consumer positive kind development impact.,77a095b0-ef54-4826-b3bb-b9e9ae20ef26,810.96,906,e76c635f-9deb-4cb2-92a6-fb85006e71ef,9.74,54x25x71 cm,Gainsboro,1 years,2020-05-18
16db8378-2fae-42cf-9802-a9993eedbc24,Pretty,Entire matter some man interview three economy.,89640938-59ba-458a-b0fa-0c0a0054f86a,986.95,421,bc9daf41-a283-43e9-9667-4b60c22522c9,9.5,54x41x1 cm,BlueViolet,2 years,2024-01-08
104952ec-4d11-4248-9d29-184c637a96e4,Someone,Often from reach institution name perform themselves.,9fe23eab-a333-4b43-a913-577d077cc216,720.15,12,7e2cd88e-3423-478c-88ee-99332efce5a7,9.8,87x68x79 cm,Cornsilk,1 years,2020-09-29
25e9d586-bee8-4c16-abe9-3ddb30f120d5,Drive,Democratic political population wrong Mr.,069354c7-29a4-4657-9862-218627619c15,127.71,674,79fda743-2131-4f70-b65d-110b20165bc6,2.07,39x36x89 cm,ForestGreen,2 years,2023-06-12
ffa713dc-f850-482d-9b51-b69bef3d9610,Drive,Message age hand conference I.,40386061-0a22-499c-978b-e40fca539092,480.85,954,7122a571-a30a-4800-a52f-f5ad506486b2,4.03,11x3x36 cm,Chocolate,4 years,2021-03-26
f5b82e53-99ab-42ec-bfed-cf838f2a0d61,Religious,Southern other but certainly worker receive.,40386061-0a22-499c-978b-e40fca539092,862.75,146,d818c715-181b-4354-afee-5029508043e7,6.57,84x83x45 cm,SlateBlue,1 years,2023-12-28
79dcb46f-c095-49a1-9269-bd460891ba73,Game,Vote economic gas five world office score.,89640938-59ba-458a-b0fa-0c0a0054f86a,285.63,29,4d939d35-cebe-435b-97ad-d2ffcc27b10e,0.52,27x88x34 cm,MediumSeaGreen,5 years,2022-10-11
fdf640ca-781a-4443-8f92-52e805892c38,Through,Spring central then prepare fight crime water.,2eb83a97-eea8-4111-8928-417d71c55d2d,947.04,970,88a2adc1-4469-4bf8-97d0-56894fccf64e,5.72,6x96x90 cm,Turquoise,5 years,2023-09-26
089d5d7f-b0dc-4e95-93d7-ef1ea0698821,Do,Action who special factor spend.,186db6f5-0f28-44da-b9ed-3f683fc30f9d,715.23,934,c34c0539-b831-45a1-98f2-6216152ca03c,4.64,56x48x69 cm,Chocolate,2 years,2022-01-17
8b4f6388-7d63-4c30-b288-852a2513e4f4,Myself,Gun go base sign this strong.,069354c7-29a4-4657-9862-218627619c15,381.82,308,ec06f453-6a8e-4bf1-a9d1-4a54dd4fba57,0.19,20x35x43 cm,Beige,3 years,2021-02-27
6db643fc-4f20-45f0-8b92-14cdc8d0a9bb,Artist,West their free baby.,4db3f4af-b967-4d74-bdad-43240bd3ebcd,721.31,356,85c643e3-1be3-4de0-8e1d-c97efb87e855,7.82,5x6x35 cm,LightGreen,2 years,2021-03-25
ea28bc6e-3f5c-457e-aa15-6fb498679f3d,Guy,Oil popular order join future second reach leg.,89640938-59ba-458a-b0fa-0c0a0054f86a,982.09,306,4a12cde5-4667-4cdd-b331-5bc2ccb40559,3.67,71x17x38 cm,DarkOrange,1 years,2024-06-24
fd431bba-3f91-46ac-bc6e-153a9ae3d078,Accept,Employee box available voice threat house.,186db6f5-0f28-44da-b9ed-3f683fc30f9d,733.22,966,48854229-cec9-4e2b-b0cd-44823a914bfa,0.58,23x67x94 cm,OldLace,1 years,2020-11-10
435c5697-3ded-4feb-8f3c-eff8621aca36,None,A in politics trouble generation almost score city.,f339f62b-efdf-4e3e-ac65-80ae6674cc61,409.14,346,20f6cf83-2cb9-4281-afb8-9382a888f507,3.06,14x13x72 cm,Fuchsia,4 years,2023-11-21
2acb1af0-c685-4542-bef1-7836601ffeeb,Fill,Low Republican since present guy community already leader.,186db6f5-0f28-44da-b9ed-3f683fc30f9d,343.71,827,9f6aa625-49ea-42a3-9a1e-bfd8bdc2897e,9.76,44x16x62 cm,Plum,1 years,2022-04-12
7b5cbf66-d986-46ae-8996-03631b531833,Hope,According east threat year day.,186db6f5-0f28-44da-b9ed-3f683fc30f9d,432.27,319,2dc59882-b77d-468a-9e0c-c43e65710d99,3.42,88x20x22 cm,OliveDrab,5 years,2022-08-14
e66a5942-a14d-4d62-a7fa-8f5b7cbf7f83,Conference,Information south write.,caaf97e8-3085-46e3-87ec-d7daf1d7fe0f,808.06,664,92988382-655a-415d-a895-ee85016eb78a,0.96,11x26x96 cm,Salmon,2 years,2021-07-07
75904d18-e374-4dd8-abf0-c215ddd6d262,Particular,Fast spring produce general parent heart.,77a095b0-ef54-4826-b3bb-b9e9ae20ef26,390.96,110,1cfe2343-cb65-4b72-b300-875d98f14f6d,4.0,67x38x58 cm,PeachPuff,4 years,2020-12-17
a421e76e-511c-4e48-8d34-f99c51728e5b,Huge,Along son make time since.,e916dafb-0783-4fb4-957e-a6a7e13edb23,717.26,232,7e3cdc05-6094-450f-bd8a-3095c4a878d5,4.29,48x29x34 cm,Tan,5 years,2021-12-09
b20fbcdf-cb55-4719-84f2-5187cde3b6b5,Onto,Window send the live economic.,7647c201-34e4-4279-b121-de6c851d13fb,436.91,377,b9d98653-515a-46fa-84c3-00b1c525dd39,1.24,90x4x68 cm,DarkOliveGreen,4 years,2021-02-19
b1a45e4c-5a3f-41ad-9ec0-5bc111bc4b9b,Citizen,Significant first sing standard wish.,069354c7-29a4-4657-9862-218627619c15,127.72,417,74784128-2055-4883-84a9-7d5cbd28941e,2.64,83x6x28 cm,SteelBlue,5 years,2023-03-12
